iter	Passed	Remaining
0	147	147454
1	158	79336
2	173	57773
3	184	45848
4	192	38398
5	200	33250
6	208	29563
7	223	27656
8	226	24907
9	244	24212
10	248	22297
11	253	20905
12	259	19734
13	265	18687
14	273	17983
15	298	18343
16	289	16739
17	294	16044
18	318	16437
19	337	16536
20	344	16049
21	349	15526
22	359	15271
23	370	15084
24	376	14672
25	379	14229
26	391	14112
27	399	13885
28	411	13791
29	424	13738
30	446	13952
31	452	13701
32	463	13573
33	467	13268
34	472	13026
35	477	12792
36	488	12724
37	492	12467
38	497	12271
39	501	12043
40	512	11976
41	518	11830
42	511	11376
43	546	11865
44	550	11692
45	557	11569
46	580	11773
47	584	11592
48	590	11461
49	595	11312
50	606	11288
51	612	11166
52	616	11007
53	623	10920
54	630	10835
55	636	10737
56	640	10597
57	645	10489
58	655	10454
59	662	10386
60	667	10273
61	674	10204
62	679	10101
63	684	10011
64	690	9926
65	694	9826
66	698	9733
67	706	9687
68	714	9646
69	723	9617
70	742	9713
71	750	9678
72	757	9621
73	761	9526
74	765	9435
75	775	9432
76	779	9344
77	788	9320
78	798	9309
79	802	9233
80	816	9265
81	825	9243
82	836	9246
83	866	9449
84	881	9492
85	889	9457
86	898	9430
87	915	9487
88	922	9446
89	930	9410
90	950	9490
91	953	9408
92	963	9397
93	968	9334
94	972	9263
95	976	9197
96	980	9126
97	983	9055
98	987	8986
99	990	8917
100	99101	1012	8916
102	1015	8847
103	1030	8874
104	1042	8885
105	1050	8859
106	1055	8809
107	1061	8764
108	1071	8754
109	1078	8728
110	1082	8672
111	1086	8612
112	1097	8615
113	1107	8604
114	1114	8573
115	1118	8522
116	1124	8485
117	1130	8447
118	1141	8449
119	1144	8396
120	1152	8370
121	1155	8317
122	1166	8314
123	1171	8275
124	1178	8247
125	1185	8223
126	1191	8188
127	1199	8171
128	1205	8141
129	1216	8144
130	1225	8127
131	1228	8079
132	1232	8031
133	1235	7983
134	1246	7986
135	1270	8071
136	1304	8218
137	1344	8395
138	1362	8442
139	1395	8570
140	1407	8577
141	1411	8525
142	1426	8549
143	1432	8512
144	1467	8651
145	1475	8631
146	1478	8580
147	1486	8556
148	1493	8532
149	1502	8513
150	1506	8467
151	1512	8438
152	1521	8422
153	1531	8412
154	1534	8365
155	1551	8392
156	1561	8385
157	1586	8454
158	1603	8482
159	2038	10702
160	2070	10790
161	2128	11010
162	2177	11181
163	2244	11439
164	2286	11568
165	2289	11502
166	2315	11550
167	2395	11864
168	2409	11848
169	2430	11866
170	2455	11905
171	2460	11846
172	2555	12218
173	2763	13120
174	2767	13048
175	2771	12975
176	2775	12906
177	2779	12836
178	2784	12769
179	2789	12706
180	2793	12639
181	2797	12574
182	2801	12506
183	2805	12440
184	2809	12374
185	2813	12311
186	2816	12245
187	2821	12184
188	2824	12120
189	2828	12058
190	2833	11999
191	2837	11939
192	197	2925	11851
198	2947	11864
199	3001	12004
200	3004	11943
201	3023	11945
202	3035	11916
203	3070	11981
204	3074	11922
205	3082	11879
206	3094	11855
207	3122	11891
208	3130	11848
209	3160	11890
210	3218	12035
211	3249	12079
212	3337	12330
213	3341	12271
214	3458	12628
215	3480	12633
216	3512	12675
217	3547	12725
218	3556	12682
219	3568	12651
220	3573	12594
221	3577	12535
222	3595	12527
223	3680	12750
224	3685	12693
225	3700	12673
226	3710	12634
227	3722	12603
228	3725	12544
229	3757	12579
230	3761	12520
231	3764	12461
232	3794	12491
233	3818	12498
234	3849	12531
235	3852	12472
236	3856	12415
237	3859	12357
238	3864	12303
239	3870	12255
240	3873	12199
241	3890	12187
242	3897	12142
243	3907	12106
244	3913	12059
245	3929	12044
246	3955	12058
247	3959	12006
248	4028	12149
249	4044	12132
250	4073	12156
251	4082	12119
252	4087	12068
253	4093	12022
254	4099	11977
255	4108	11940
256	4123	11920
257	4128	11873
258	4146	11862
259	4168	11863
260	4174	11818
261	4177	11766
262	4183	11724
263	4203	11719
264	4206	11667
265	4220	11646
266	4223	11595
267	4230	11553
268	4242	11528
269	4262	11523
270	4307	11586
271	4311	11539
272	4315	11491
273	4318	11443
274	4323	11397
275	4326	11348
276	4329	11301
277	4334	11256
278	4337	11210
279	4341	11163
280	4345	11118
281	4349	11073
282	4352	11027
283	4356	10982
284	4360	10938
285	4362	10891
286	4366	10847
287	4370	10803
288	4373	10759
289	4377	10716
290	4380	10673
291	4383	10628
292	4387	10586
293	4390	10544
294	4395	10504
295	4399	10463
296	4402	10421
297	4406	10381
298	4410	10340
299	4414	10300
300	4417	10259
301	4421	10219
302	4424	101310303	4539	10393
304	4700	10711
305	4822	10937
306	4827	10896
307	4832	10857
308	4835	10814
309	4879	10861
310	4888	10829
311	4902	10810
312	4922	10803
313	4935	10782
314	4953	10771
315	5019	10865
316	5039	10857
317	5055	10841
318	5058	10798
319	5061	10756
320	5064	10713
321	5085	10706
322	5089	10667
323	5142	10729
324	5150	10697
325	5163	10676
326	5187	10676
327	5203	10660
328	5212	10631
329	5222	10603
330	5235	10582
331	5250	10564
332	5257	10531
333	5272	10513
334	5283	10487
335	5294	10463
336	5306	10439
337	5319	10418
338	5336	10405
339	5339	10365
340	5343	10326
341	5391	10372
342	5453	10446
343	5464	10421
344	5521	10482
345	5534	10461
